Check DateTime,IP, Return Time
20180826 033037,192.168.0.1,1000
20180826 033037,192.168.0.2,1000
20180826 033037,www.google.com,74
20180826 033037,192.168.0.1,1000
20180826 033037,192.168.0.2,1000
20180826 033037,www.google.com,74
20180826 033039,192.168.0.3,0
20180826 033039,192.168.0.4,0
20180826 033041,www.naver.com,0
20180826 033047,192.168.0.1,1000
20180826 033047,192.168.0.2,1000
20180826 033047,www.google.com,74
20180826 033037,192.168.0.1,1000
20180826 033037,192.168.0.2,1000
20180826 033037,www.google.com,74
20180826 033039,192.168.0.3,0
20180826 033039,192.168.0.4,0
20180826 033041,www.naver.com,0
20180826 033047,192.168.0.1,1000
20180826 033047,192.168.0.2,1000
20180826 033047,www.google.com,74
20180826 033049,192.168.0.4,0
20180826 033049,192.168.0.3,0
20180826 033051,www.naver.com,0
20180826 033057,192.168.0.1,1000
20180826 033057,192.168.0.2,1000
20180826 033057,www.google.com,74
